Class	Document	Source	Message	Time	Date	No.

[Warning]	Lab7-8_TOP.SchDoc	Compiler	+5A contains Input Pin and Unspecified Sheet Entry objects (Pin U1-2, Sheet Entry CHANNEL1-+5A(Passive), Sheet Entry CHANNEL2-+5A(Passive), Sheet Entry CHANNEL3-+5A(Passive), Sheet Entry CHANNEL4-+5A(Passive)).	3:22:00 PM	2024-03-06	1
[Warning]	Lab7-8_TOP.SchDoc	Compiler	+5A contains Output Pin and Power Pin objects (Pin U2-3, Pin U3-2, Pin U4-7, Pin U5-7, Pin U6-7, Pin U7-7, Pin U8-16, Pin U9-16, Pin U10-16, Pin U11-16).	3:22:00 PM	2024-03-06	2
[Warning]	Lab7-8_TOP.SchDoc	Compiler	+5A contains Output Pin and Unspecified Sheet Entry objects (Pin U2-3, Sheet Entry CHANNEL1-+5A(Passive), Sheet Entry CHANNEL2-+5A(Passive), Sheet Entry CHANNEL3-+5A(Passive), Sheet Entry CHANNEL4-+5A(Passive)).	3:22:00 PM	2024-03-06	3
[Warning]	Lab7-8_CH1.SchDoc	Compiler	DGND contains Input Pin and Unspecified Port objects (Pin U8-15, Port DGND).	3:22:00 PM	2024-03-06	4
[Warning]	Lab7-8_CH2.SchDoc	Compiler	DGND contains Input Pin and Unspecified Port objects (Pin U9-15, Port DGND).	3:22:00 PM	2024-03-06	5
[Warning]	Lab7-8_CH3.SchDoc	Compiler	DGND contains Input Pin and Unspecified Port objects (Pin U10-15, Port DGND).	3:22:00 PM	2024-03-06	6
[Warning]	Lab7-8_CH4.SchDoc	Compiler	DGND contains Input Pin and Unspecified Port objects (Pin U11-15, Port DGND).	3:22:00 PM	2024-03-06	7
[Warning]	Lab7-8_CH1.SchDoc	Compiler	Global Power-Object +5A at 10100mil,7300mil has been reduced to local level by presence of port at 12242.593mil,7100mil	3:22:00 PM	2024-03-06	8
[Warning]	Lab7-8_CH4.SchDoc	Compiler	Global Power-Object +5A at 10400mil,7200mil has been reduced to local level by presence of port at 12542.593mil,7000mil	3:22:00 PM	2024-03-06	9
[Warning]	Lab7-8_CH2.SchDoc	Compiler	Global Power-Object +5A at 10400mil,7200mil has been reduced to local level by presence of port at 12542.593mil,7000mil	3:22:00 PM	2024-03-06	10
[Warning]	Lab7-8_CH3.SchDoc	Compiler	Global Power-Object +5A at 10600mil,7300mil has been reduced to local level by presence of port at 12742.593mil,7100mil	3:22:00 PM	2024-03-06	11
[Warning]	Lab7-8_CH1.SchDoc	Compiler	Global Power-Object +5D at 10200mil,6800mil has been reduced to local level by presence of port at 12242.593mil,6700mil	3:22:00 PM	2024-03-06	12
[Warning]	Lab7-8_CH4.SchDoc	Compiler	Global Power-Object +5D at 10500mil,6700mil has been reduced to local level by presence of port at 12542.593mil,6600mil	3:22:00 PM	2024-03-06	13
[Warning]	Lab7-8_CH2.SchDoc	Compiler	Global Power-Object +5D at 10500mil,6700mil has been reduced to local level by presence of port at 12542.593mil,6600mil	3:22:00 PM	2024-03-06	14
[Warning]	Lab7-8_CH3.SchDoc	Compiler	Global Power-Object +5D at 10700mil,6800mil has been reduced to local level by presence of port at 12742.593mil,6700mil	3:22:00 PM	2024-03-06	15
[Warning]	Lab7-8_CH1.SchDoc	Compiler	Global Power-Object AGND at 2300mil,3600mil has been reduced to local level by presence of port at 1100mil,3600mil	3:22:00 PM	2024-03-06	16
